index,account,company_name,company_address,company_ph,company_primary_domain,company_revenue,operating_income,net_income,net_income_trend,total_assets,retained_earnings,employees_list
25,AVIVA PLC,Aviva plc,"['St. Helens, 1 Undershaft', 'EC3P 3DQ', 'United Kingdom']",['+44.1603.622200'],https://www.aviva.com/,"['45,978.00']","['2,697.00']","2,798.00","['2,798.00', '2,548.00', '1,568.00']","479,857.00","16,623.00","{0: {'first_name': ['George'], 'middle_name': [], 'last_name': ['Culmer'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Amanda'], 'middle_name': ['Jayne'], 'last_name': ['Blanc'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Jason'], 'middle_name': ['Michael'], 'last_name': ['Windsor'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Kirstine'], 'middle_name': [], 'last_name': ['Cooper'], 'designation': 'Group General Counsel, Company Secretary'}, 4: {'first_name': ['Patricia'], 'middle_name': ['Anne'], 'last_name': ['Cross'], 'designation': 'Independent Non-Executive Director'}, 5: {'first_name': ['Patrick'], 'middle_name': ['G.'], 'last_name': ['Flynn'], 'designation': 'Senior Independent Non-Executive Director'}, 6: {'first_name': ['Belen'], 'middle_name': ['Romana'], 'last_name': ['Garcia'], 'designation': 'Independent Non-Executive Director'}, 7: {'first_name': ['Mohit'], 'middle_name': [], 'last_name': ['Joshi'], 'designation': 'Independent Non-Executive Director'}, 8: {'first_name': ['Pippa'], 'middle_name': [], 'last_name': ['Lambert'], 'designation': 'Independent Non-Executive Director'}, 9: {'first_name': ['Jim'], 'middle_name': [], 'last_name': ['McConville'], 'designation': 'Independent Non-Executive Director'}, 10: {'first_name': ['Michael'], 'middle_name': ['Philip'], 'last_name': ['Mire'], 'designation': 'Independent Non-Executive Director'}}"
26,UBS AG,UBS Group AG,,,,,,,,,,
27,Hewlett Packard Enterprise,Hewlett-Packard Company,,,,,,,,,,
28,VIRGIN MEDIA BUSINESS LIMITED,Virgin Media Business Limited,,,,,,,,,,
29,PINSENT MASONS LLP,Pinsent Masons,,,,,,,,,,
30,John Lewis Horsham,John Lewis & Partners,,,,,,,,,,
31,HARRODS LIMITED,Harrods,,,,,,,,,,
32,FRESHFIELDS BRUCKHAUS DERINGER LLP,,,,,,,,,,,
33,NETWORK RAIL INFRASTRUCTURE LIMITED,Network Rail Limited,,,,,,,,,,
34,CISCO INTERNATIONAL LIMITED,"Cisco Systems, Inc.",,,,,,,,,,
35,DIAGEO PLC,Diageo plc,"['Lakeside Drive, Park Royal', 'NW10 7HQ', 'United Kingdom']",['+44.20.89786000'],https://www.diageo.com/,"['11,752.00']","['2,114.00']","1,409.00","['1,409.00', '3,160.00', '3,022.00']","33,308.00","7,544.00","{0: {'first_name': ['Javier'], 'middle_name': ['Ferran'], 'last_name': ['Larraz'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Ivan'], 'middle_name': ['M.'], 'last_name': ['Menezes'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Kathryn'], 'middle_name': [], 'last_name': ['Mikells'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Lavanya'], 'middle_name': [], 'last_name': ['Chandrashekar'], 'designation': 'Chief Financial Officer'}, 4: {'first_name': ['Ewan'], 'middle_name': [], 'last_name': ['Andrew'], 'designation': 'President - Global Supply and Procurement'}, 5: {'first_name': ['Debra'], 'middle_name': ['Ann'], 'last_name': ['Crew'], 'designation': 'President - Diageo North America'}, 6: {'first_name': ['Sam'], 'middle_name': [], 'last_name': ['Fischer'], 'designation': 'President - Diageo Greater China and Asia Pacific'}, 7: {'first_name': ['Alberto'], 'middle_name': [], 'last_name': ['Gavazzi'], 'designation': 'President - Diageo Latin America and Caribbean, Global Travel & Sales Opex'}, 8: {'first_name': ['John'], 'middle_name': ['Thomas'], 'last_name': ['Kennedy'], 'designation': 'President - Diageo Europe, Turkey and India'}, 9: {'first_name': ['Anand'], 'middle_name': [], 'last_name': ['Kripalu'], 'designation': 'Chief Executive Officer - United Spirits Limited'}, 10: {'first_name': ['John'], 'middle_name': [], 'last_name': [""O'Keeffe""], 'designation': 'President - Diageo Africa'}, 11: {'first_name': ['Mairead'], 'middle_name': [], 'last_name': ['Nayager'], 'designation': 'Chief Human Resource Officer'}, 12: {'first_name': ['Cristina'], 'middle_name': [], 'last_name': ['Diezhandino'], 'designation': 'Chief Marketing Officer'}, 13: {'first_name': ['Siobhan'], 'middle_name': [], 'last_name': ['Moriarty'], 'designation': 'General Counsel, Company Secretary, Non-Executive Director'}, 14: {'first_name': ['Daniel'], 'middle_name': [], 'last_name': ['Mobley'], 'designation': 'Corporate Relations Director'}, 15: {'first_name': ['Valerie'], 'middle_name': [], 'last_name': ['Chapoulaud-Floquet'], 'designation': 'Non-Executive Director'}, 16: {'first_name': ['John'], 'middle_name': [], 'last_name': ['Manzoni'], 'designation': 'Non-Executive Director'}, 17: {'first_name': ['Ireena'], 'middle_name': [], 'last_name': ['Vittal'], 'designation': 'Non-Executive Director'}, 18: {'first_name': ['Melissa'], 'middle_name': ['W.'], 'last_name': ['Bethell'], 'designation': 'Non-Executive Independent Director'}, 19: {'first_name': ['Susan'], 'middle_name': ['Saltzbart'], 'last_name': ['Kilsby'], 'designation': 'Senior Non-Executive Independent Director'}, 20: {'first_name': ['Nicola'], 'middle_name': ['S.'], 'last_name': ['Mendelsohn'], 'designation': 'Non-Executive Independent Director'}, 21: {'first_name': ['Alan'], 'middle_name': ['J.', 'H.'], 'last_name': ['Stewart'], 'designation': 'Non-Executive Independent Director'}}"
36,BT GROUP PLC,BT Group plc,"['Bt Centre, 81 Newgate Street', 'EC1A 7AJ', 'United Kingdom']",['+44.20.73565000'],https://www.bt.com/,"['21,370.00']","['2,569.00']","1,472.00","['1,472.00', '1,734.00', '2,159.00']","50,877.00","9,863.00","{0: {'first_name': ['Philip'], 'middle_name': [], 'last_name': ['Jansen'], 'designation': 'Chief Executive, Executive Director'}, 1: {'first_name': ['Simon'], 'middle_name': ['Jonathan'], 'last_name': ['Lowth'], 'designation': 'Chief Financial Officer, Executive Director'}, 2: {'first_name': ['Marc'], 'middle_name': [], 'last_name': ['Allera'], 'designation': 'CEO, Consumer'}, 3: {'first_name': ['Bas'], 'middle_name': [], 'last_name': ['Burger'], 'designation': 'CEO, Global Services'}, 4: {'first_name': ['Clive'], 'middle_name': [], 'last_name': ['Selley'], 'designation': 'CEO, Openreach'}, 5: {'first_name': ['Rob'], 'middle_name': [], 'last_name': ['Shuter'], 'designation': 'Chief Enterprise Officer - Enterprise'}, 6: {'first_name': ['Howard'], 'middle_name': [], 'last_name': ['Watson'], 'designation': 'Chief Technology and Information Officer'}, 7: {'first_name': ['Rachel'], 'middle_name': [], 'last_name': ['Canham'], 'designation': 'General Counsel, Governance and Company Secretary'}, 8: {'first_name': ['Sabine'], 'middle_name': [], 'last_name': ['Chalmers'], 'designation': 'General Counsel'}, 9: {'first_name': ['Alison'], 'middle_name': [], 'last_name': ['Wilcox'], 'designation': 'Human Resources Director'}, 10: {'first_name': ['Ed'], 'middle_name': [], 'last_name': ['Petter'], 'designation': 'Corporate Affairs Director'}, 11: {'first_name': ['Michael'], 'middle_name': [], 'last_name': ['Sherman'], 'designation': 'Chief Strategy and Transformation Officer'}, 12: {'first_name': ['Adel'], 'middle_name': [], 'last_name': ['Al-Saleh'], 'designation': 'Non-Independent Non-Executive Director'}, 13: {'first_name': ['Sara'], 'middle_name': ['V.'], 'last_name': ['Weller'], 'designation': 'Non-Executive Director'}, 14: {'first_name': ['Iain'], 'middle_name': ['C.'], 'last_name': ['Conn'], 'designation': 'Senior Independent Director'}, 15: {'first_name': ['Ian'], 'middle_name': ['Michael'], 'last_name': ['Cheshire'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Isabel'], 'middle_name': ['F.'], 'last_name': ['Hudson'], 'designation': 'Independent Non-Executive Director'}, 17: {'first_name': ['Michael'], 'middle_name': ['James'], 'last_name': ['Inglis'], 'designation': 'Independent Non-Executive Director'}, 18: {'first_name': ['Matthew'], 'middle_name': [], 'last_name': ['Key'], 'designation': 'Independent Non-Executive Director'}, 19: {'first_name': ['Allison'], 'middle_name': [], 'last_name': ['Kirkby'], 'designation': 'Independent Non-Executive Director'}, 20: {'first_name': ['Leena'], 'middle_name': [], 'last_name': ['Nair'], 'designation': 'Non-Executive Independent Director'}}"
37,ROYAL MAIL PLC,Royal Mail Group plc,"['100 Victoria Embankment', 'EC4Y 0HQ', 'United Kingdom']",['+44.020.74498183'],https://www.royalmailgroup.com/,"['12,638.00']",['728.00'],620.00,"['620.00', '161.00', '175.00']","9,985.00","4,795.00","{0: {'first_name': ['Keith'], 'middle_name': [], 'last_name': ['Williams'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['James'], 'middle_name': [], 'last_name': ['Rietkerk'], 'designation': 'GLS Chief Executive Officer'}, 2: {'first_name': ['Simon'], 'middle_name': [], 'last_name': ['Thompson'], 'designation': 'Chief Executive of the UK business'}, 3: {'first_name': ['Sally'], 'middle_name': ['Anne'], 'last_name': ['Ashford'], 'designation': 'Chief Human Resource Officer'}, 4: {'first_name': ['Christian'], 'middle_name': [], 'last_name': ['Herrlich'], 'designation': 'Group Chief Information Officer'}, 5: {'first_name': ['Mark'], 'middle_name': [], 'last_name': ['Amsden'], 'designation': 'Group General Counsel and Company Secretary Chief Risk and Governance Officer'}, 6: {'first_name': ['Shane'], 'middle_name': [], 'last_name': [""O'Riordain""], 'designation': 'Managing Director - Corporate Affairs, Regulation and Marketing'}, 7: {'first_name': ['Michael'], 'middle_name': [], 'last_name': ['Jeavons'], 'designation': 'Executive Director'}, 8: {'first_name': ['Achim'], 'middle_name': [], 'last_name': ['Dunnwald'], 'designation': 'Chief Strategy & Transformation Officer'}, 9: {'first_name': ['Mel'], 'middle_name': [], 'last_name': ['Tomlin'], 'designation': 'Chief of Staff'}, 10: {'first_name': ['Martin'], 'middle_name': [], 'last_name': ['Seidenberg'], 'designation': 'Director'}, 11: {'first_name': ['Maria'], 'middle_name': ['da'], 'last_name': ['Cunha'], 'designation': 'Non-Executive Director'}, 12: {'first_name': ['Rita'], 'middle_name': [], 'last_name': ['Griffin'], 'designation': 'Non-Executive Independent Director'}, 13: {'first_name': ['Sarah'], 'middle_name': [], 'last_name': ['Hogg'], 'designation': 'Senior Independent Non-Executive Director'}, 14: {'first_name': ['Lynne'], 'middle_name': ['M.'], 'last_name': ['Peacock'], 'designation': 'Non-Executive Independent Director'}}"
38,THOMSON REUTERS GROUP LIMITED,Thomson Reuters Corporation,"['333 BAY STREET, SUITE 300', 'TORONTO, ON', 'M5H 2R2', 'Canada']",['+1.416.6877500'],https://www.thomsonreuters.com/,"['5,984.00']","['1,929.00']","1,122.00","['1,122.00', '1,564.00', '3,933.00']","17,881.00","5,211.00","{0: {'first_name': ['David'], 'middle_name': ['Kenneth', 'Roy'], 'last_name': ['Thomson'], 'designation': 'Non-Independent Chairman of the Board'}, 1: {'first_name': ['Steve'], 'middle_name': [], 'last_name': ['Hasker'], 'designation': 'President, Chief Executive Officer, Director'}, 2: {'first_name': ['David'], 'middle_name': ['W.'], 'last_name': ['Binet'], 'designation': 'Non-Independent Deputy Chairman of the Board'}, 3: {'first_name': ['Michael'], 'middle_name': ['Keith'], 'last_name': ['Eastwood'], 'designation': 'Chief Financial Officer'}, 4: {'first_name': ['Paul'], 'middle_name': [], 'last_name': ['Fischer'], 'designation': 'Interim President - Legal Professionals'}, 5: {'first_name': ['Michael'], 'middle_name': [], 'last_name': ['Friedenberg'], 'designation': 'President - Reuters News'}, 6: {'first_name': ['Sunil'], 'middle_name': [], 'last_name': ['Pandita'], 'designation': 'President - Corporates'}, 7: {'first_name': ['Charlotte'], 'middle_name': [], 'last_name': ['Rushton'], 'designation': 'President - Tax and Accounting Professionals'}, 8: {'first_name': ['Brian'], 'middle_name': ['S.'], 'last_name': ['Peccarelli'], 'designation': 'Chief Operating Officer, Customer Markets'}, 9: {'first_name': ['Mary'], 'middle_name': ['Alice'], 'last_name': ['Vuicic'], 'designation': 'Chief People Officer'}, 10: {'first_name': ['Kirsty'], 'middle_name': [], 'last_name': ['Roth'], 'designation': 'Chief Operations and Technology Officer'}, 11: {'first_name': ['Alessandra'], 'middle_name': [], 'last_name': ['Galloni'], 'designation': 'Editor-in-Chief, Reuters'}, 12: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Wong'], 'designation': 'Chief Product Officer'}, 13: {'first_name': ['Thomas'], 'middle_name': [], 'last_name': ['Kim'], 'designation': 'Chief Legal Officer & Company Secretary'}, 14: {'first_name': ['Vance'], 'middle_name': ['K.'], 'last_name': ['Opperman'], 'designation': 'Lead Independent Director'}, 15: {'first_name': ['W.'], 'middle_name': ['Edmund'], 'last_name': ['Clark'], 'designation': 'Director'}, 16: {'first_name': ['Peter'], 'middle_name': ['J.'], 'last_name': ['Thomson'], 'designation': 'Director'}, 17: {'first_name': ['Kirk'], 'middle_name': ['E.'], 'last_name': ['Arnold'], 'designation': 'Independent Director'}, 18: {'first_name': ['Michael'], 'middle_name': ['E.'], 'last_name': ['Daniels'], 'designation': 'Independent Director'}, 19: {'first_name': ['Kirk'], 'middle_name': [], 'last_name': ['Koenigsbauer'], 'designation': 'Independent Director'}, 20: {'first_name': ['Deanna'], 'middle_name': ['W.'], 'last_name': ['Oppenheimer'], 'designation': 'Independent Director'}, 21: {'first_name': ['Simon'], 'middle_name': [], 'last_name': ['Paris'], 'designation': 'Independent Director'}, 22: {'first_name': ['Kim'], 'middle_name': ['M.'], 'last_name': ['Rivera'], 'designation': 'Independent Director'}, 23: {'first_name': ['Barry'], 'middle_name': [], 'last_name': ['Salzberg'], 'designation': 'Independent Director'}, 24: {'first_name': ['Wulf'], 'middle_name': ['von'], 'last_name': ['Schimmelmann'], 'designation': 'Independent Director'}}"
39,BRITISH AMERICAN TOBACCO P.L.C.,British American Tobacco plc,"['Globe House, 4 Temple Place', 'WC2R 2PG', 'United Kingdom']",['+44.20.78452000'],http://www.bat.com/,"['25,776.00']","['9,820.00']","6,400.00","['6,400.00', '5,704.00', '6,032.00']","137,690.00","74,279.00","{0: {'first_name': ['Luc'], 'middle_name': [], 'last_name': ['Jobin'], 'designation': 'Chairman of the Board'}, 1: {'first_name': ['Jack'], 'middle_name': ['Marie', 'Henry', 'David'], 'last_name': ['Bowles'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Tadeu'], 'middle_name': ['Luiz'], 'last_name': ['Marroco'], 'designation': 'Finance and Transformation Director, Executive Director'}, 3: {'first_name': ['Guy'], 'middle_name': [], 'last_name': ['Meldrum'], 'designation': 'President and Chief Executive Officer of Reynolds American Inc'}, 4: {'first_name': ['Kingsley'], 'middle_name': ['J.'], 'last_name': ['Wheaton'], 'designation': 'Chief Marketing Officer'}, 5: {'first_name': ['Jerome'], 'middle_name': [], 'last_name': ['Abelman'], 'designation': 'Director, Legal & External Affairs and General Counsel'}, 6: {'first_name': ['Marina'], 'middle_name': [], 'last_name': ['Bellini'], 'designation': 'Director - Digital and Information'}, 7: {'first_name': ['Luciano'], 'middle_name': [], 'last_name': ['Comin'], 'designation': 'Regional Director - Americas and Sub Saharan Africa'}, 8: {'first_name': ['Michael'], 'middle_name': [], 'last_name': ['Dijanosic'], 'designation': 'Regional Director - Asia Pacific and Middle East'}, 9: {'first_name': ['Zafar'], 'middle_name': [], 'last_name': ['Khan'], 'designation': 'Director - Operations'}, 10: {'first_name': ['Hae'], 'middle_name': ['In'], 'last_name': ['Kim'], 'designation': 'Director - Talent, Culture and Inclusion'}, 11: {'first_name': ['Paul'], 'middle_name': [], 'last_name': ['Lageweg'], 'designation': 'Director - New Categories'}, 12: {'first_name': ['David'], 'middle_name': [], 'last_name': [""O'Reilly""], 'designation': 'Director - Research and Science'}, 13: {'first_name': ['Johan'], 'middle_name': [], 'last_name': ['Vandermeulen'], 'designation': 'Regional Director - Europe and North Africa'}, 14: {'first_name': ['Paul'], 'middle_name': [], 'last_name': ['McCrory'], 'designation': 'Company Secretary'}, 15: {'first_name': ['Susan'], 'middle_name': ['Jane'], 'last_name': ['Farr'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Karen'], 'middle_name': ['Jane'], 'last_name': ['Guerra'], 'designation': 'Non-Executive Independent Director'}, 17: {'first_name': ['Marion'], 'middle_name': ['M.'], 'last_name': ['Helmes'], 'designation': 'Non-Executive Independent Director'}, 18: {'first_name': ['Holly'], 'middle_name': ['Keller'], 'last_name': ['Koeppel'], 'designation': 'Non-Executive Independent Director'}, 19: {'first_name': ['Savio'], 'middle_name': [], 'last_name': ['Kwan'], 'designation': 'Non-Executive Independent Director'}, 20: {'first_name': ['Dimitri'], 'middle_name': ['E.'], 'last_name': ['Panayotopoulos'], 'designation': 'Senior Non-Executive Independent Director'}, 21: {'first_name': ['J.'], 'middle_name': ['Darrell'], 'last_name': ['Thomas'], 'designation': 'Non-Executive Independent Director'}}"
40,FINANCIAL OMBUDSMAN SERVICE LIMITED,Financial Ombudsman Service,,,,,,,,,,
41,VIRGIN MONEY PLC,Virgin Money UK plc,"['40 St Vincent Place,', 'G1 2HL', 'United Kingdom']",['+44.141.2487070'],https://www.cybg.com/,[],[],(141.00),"['(141.00)', '(212.00)', '(145.00)']","90,259.00","3,923.00","{0: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Bennett'], 'designation': 'Non-Executive Independent Chairman of the Board'}, 1: {'first_name': ['David'], 'middle_name': ['J.'], 'last_name': ['Duffy'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Clifford'], 'middle_name': ['J.'], 'last_name': ['Abrahams'], 'designation': 'Group Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Fraser'], 'middle_name': [], 'last_name': ['Ingram'], 'designation': 'Group Chief Operating Officer'}, 4: {'first_name': ['Mark'], 'middle_name': [], 'last_name': ['Thundercliffe'], 'designation': 'Group Chief Risk Officer'}, 5: {'first_name': ['James'], 'middle_name': [], 'last_name': ['Peirson'], 'designation': 'Group General Counsel'}, 6: {'first_name': ['Kate'], 'middle_name': [], 'last_name': ['Guthrie'], 'designation': 'Group Human Resources Director'}, 7: {'first_name': ['Hugh'], 'middle_name': [], 'last_name': ['Chater'], 'designation': 'Group Mortgages Director'}, 8: {'first_name': ['Lucy'], 'middle_name': [], 'last_name': ['Dimes'], 'designation': 'Chief Strategy & Transformation Officer'}, 9: {'first_name': ['Fergus'], 'middle_name': [], 'last_name': ['Murphy'], 'designation': 'Group Personal Banking Director'}, 10: {'first_name': ['Gavin'], 'middle_name': ['R.'], 'last_name': ['Opperman'], 'designation': 'Group Business Banking Director'}, 11: {'first_name': ['Helen'], 'middle_name': [], 'last_name': ['Page'], 'designation': 'Group Brand and Marketing Director'}, 12: {'first_name': ['Emma'], 'middle_name': [], 'last_name': ['Tottenham'], 'designation': 'Group Director of Corporate Communications and Sustainability'}, 13: {'first_name': ['Lorna'], 'middle_name': [], 'last_name': ['McMillan'], 'designation': 'Group Company Secretary'}, 14: {'first_name': ['Amy'], 'middle_name': [], 'last_name': ['Stirling'], 'designation': 'Non-Executive Director'}, 15: {'first_name': ['Paul'], 'middle_name': [], 'last_name': ['Coby'], 'designation': 'Independent Non-Executive Director'}, 16: {'first_name': ['Geeta'], 'middle_name': [], 'last_name': ['Gopalan'], 'designation': 'Independent Non-Executive Director'}, 17: {'first_name': ['Elena'], 'middle_name': [], 'last_name': ['Novokreshchenova'], 'designation': 'Independent Non-Executive Director'}, 18: {'first_name': ['Darren'], 'middle_name': [], 'last_name': ['Pope'], 'designation': 'Independent Non-Executive Director'}, 19: {'first_name': ['Timothy'], 'middle_name': [], 'last_name': ['Wade'], 'designation': 'Senior Non-Executive Independent Director'}}"
42,SMITH & NEPHEW PLC,Smith & Nephew plc,"['Building 5, Croxley Park, Hatters Lane', 'WD18 8YE', 'United Kingdom']",['+44.20.74017646'],http://www.smith-nephew.com/,"['4,560.00']",['295.00'],448.00,"['448.00', '600.00', '663.00']","11,012.00","4,647.00","{0: {'first_name': ['Roberto'], 'middle_name': [], 'last_name': ['Quarta'], 'designation': 'Non-Executive Independent Chairman of the Board'}, 1: {'first_name': ['Roland'], 'middle_name': ['D.'], 'last_name': ['Diggelmann'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Anne-Francoise'], 'middle_name': ['Michele'], 'last_name': ['Nesmes'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Brad'], 'middle_name': [], 'last_name': ['Cannon'], 'designation': 'President - Sports Medicine & ENT'}, 4: {'first_name': ['Peter'], 'middle_name': [], 'last_name': ['Coenen'], 'designation': 'President - EMEA Region'}, 5: {'first_name': ['Myra'], 'middle_name': [], 'last_name': ['Eskes'], 'designation': 'President - Asia Pacific'}, 6: {'first_name': ['Simon'], 'middle_name': [], 'last_name': ['Fraser'], 'designation': 'President - Advanced Wound Management'}, 7: {'first_name': ['Mark'], 'middle_name': [], 'last_name': ['Gladwell'], 'designation': 'President - Global Operations and Global Business Services'}, 8: {'first_name': ['Skip'], 'middle_name': [], 'last_name': ['Kiil'], 'designation': 'President - Orthopedics'}, 9: {'first_name': ['Vasant'], 'middle_name': [], 'last_name': ['Padmanabhan'], 'designation': 'President - Research & Development'}, 10: {'first_name': ['Elga'], 'middle_name': [], 'last_name': ['Lohler'], 'designation': 'Chief Human Resource Officer'}, 11: {'first_name': ['Catheryn'], 'middle_name': [], 'last_name': [""O'Rourke""], 'designation': 'Chief Legal and Compliance Officer'}, 12: {'first_name': ['Phil'], 'middle_name': [], 'last_name': ['Cowdy'], 'designation': 'Chief Business Development and Corporate Affairs Officer'}, 13: {'first_name': ['Melissa'], 'middle_name': [], 'last_name': ['Guerdan'], 'designation': 'Chief Quality, Regulatory Affairs Officer'}, 14: {'first_name': ['Susan'], 'middle_name': [], 'last_name': ['Swabey'], 'designation': 'Company Secretary'}, 15: {'first_name': ['Erik'], 'middle_name': [], 'last_name': ['Engstrom'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Robin'], 'middle_name': ['Anthony', 'David'], 'last_name': ['Freestone'], 'designation': 'Senior Non-Executive Independent Director'}, 17: {'first_name': ['John'], 'middle_name': [], 'last_name': ['Ma'], 'designation': 'Non-Executive Independent Director'}, 18: {'first_name': ['Katarzyna'], 'middle_name': [], 'last_name': ['Mazur-Hofsaess'], 'designation': 'Non-Executive Independent Director'}, 19: {'first_name': ['Rick'], 'middle_name': [], 'last_name': ['Medlock'], 'designation': 'Non-Executive Independent Director'}, 20: {'first_name': ['Marc'], 'middle_name': ['E.'], 'last_name': ['Owen'], 'designation': 'Non-Executive Independent Director'}, 21: {'first_name': ['Angie'], 'middle_name': [], 'last_name': ['Risley'], 'designation': 'Non-Executive Independent Director'}, 22: {'first_name': ['Bob'], 'middle_name': [], 'last_name': ['White'], 'designation': 'Non-Executive Independent Director'}}"
43,ACCENTURE (UK) LIMITED,Accenture plc,"['1 Grand Canal Square', 'Grand Canal Harbour, Dublin 2', '2', 'Ireland']",['+353.1.6462000'],https://www.accenture.com/ie-en/,"['44,327.04']","['6,513.64']","5,107.84","['5,107.84', '4,779.11', '4,059.91']","37,078.59","12,375.53","{0: {'first_name': ['David'], 'middle_name': ['P'], 'last_name': ['Rowland'], 'designation': 'Executive Chairman of the Board'}, 1: {'first_name': ['Julie'], 'middle_name': [], 'last_name': ['Sweet'], 'designation': 'Chief Executive Officer, Director'}, 2: {'first_name': ['K.'], 'middle_name': ['C.'], 'last_name': ['Mcclure'], 'designation': 'Chief Financial Officer'}, 3: {'first_name': ['Gianfranco'], 'middle_name': [], 'last_name': ['Casati'], 'designation': 'Group Chief Executive - Growth Markets'}, 4: {'first_name': ['James'], 'middle_name': ['O.'], 'last_name': ['Etheredge'], 'designation': 'Chief Executive Officer - North America'}, 5: {'first_name': ['Jean-Marc'], 'middle_name': [], 'last_name': ['Ollagnier'], 'designation': 'Chief executive officer - Europe'}, 6: {'first_name': ['Johan'], 'middle_name': [], 'last_name': ['Deblaere'], 'designation': 'Chief Operating Officer'}, 7: {'first_name': ['Ellyn'], 'middle_name': ['J.'], 'last_name': ['Shook'], 'designation': 'Chief Human Resource Officer, Chief Leadership Officer'}, 8: {'first_name': ['Richard'], 'middle_name': ['P.'], 'last_name': ['Clark'], 'designation': 'Chief Accounting Officer, Corporate Controller'}, 9: {'first_name': ['Amy'], 'middle_name': [], 'last_name': ['Fuller'], 'designation': 'Chief Marketing & Communications Officer'}, 10: {'first_name': ['Jill'], 'middle_name': [], 'last_name': ['Kramer'], 'designation': 'Chief Marketing & Communications Officer'}, 11: {'first_name': ['Joel'], 'middle_name': ['Scott'], 'last_name': ['Unruch'], 'designation': 'General Counsel, Company Secretary'}, 12: {'first_name': ['Gilles'], 'middle_name': ['Christian', 'Gerard'], 'last_name': ['Pelisson'], 'designation': 'Lead Independent Director'}, 13: {'first_name': ['Jaime'], 'middle_name': [], 'last_name': ['Ardila'], 'designation': 'Independent Director'}, 14: {'first_name': ['Herbert'], 'middle_name': [], 'last_name': ['Hainer'], 'designation': 'Independent Director'}, 15: {'first_name': ['Nancy'], 'middle_name': [], 'last_name': ['Mckinstry'], 'designation': 'Independent Director'}, 16: {'first_name': ['Paula'], 'middle_name': ['A.'], 'last_name': ['Price'], 'designation': 'Independent Director'}, 17: {'first_name': ['Venkata'], 'middle_name': ['S.', 'M.'], 'last_name': ['Renduchintala'], 'designation': 'Independent Director'}, 18: {'first_name': ['Arun'], 'middle_name': [], 'last_name': ['Sarin'], 'designation': 'Independent Director'}, 19: {'first_name': ['Kui'], 'middle_name': [], 'last_name': ['Tang'], 'designation': 'Independent Director'}, 20: {'first_name': ['Tracey'], 'middle_name': ['Thomas'], 'last_name': ['Travis'], 'designation': 'Independent Director'}}"
44,CIVICA UK LIMITED,Civica,,,,,,,,,,
